no,CigCon,YoS,Age,Linc,Sex,CigPri,LCigPri,CigRes
402,0,12,42,3.9177,Male,30.8,3.43,Yes
403,0,16,32,4.786,Male,31.6,3.45,Yes
404,0,18,36,3.6602,Male,31.5,3.45,Yes
405,0,16,57,4.821,Male,31.6,3.45,Yes
406,0,12,31,4.3011,Male,31.2,3.44,Yes
407,0,10,17,2.0863,Male,31.1,3.44,Yes
408,0,10,17,1.2065,Female,31.5,3.45,Yes
409,8,8,45,1.9301,Male,29.7,3.39,No
410,10,12,19,2.0775,Male,29.8,3.39,No
411,0,8,74,1.3435,Male,27.2,3.3,No
412,25,12,46,2.2725,Male,26.8,3.29,No
413,0,13.5,27,2.7147,Male,27.5,3.31,No
414,0,12,66,3.6969,Male,28.2,3.34,No
415,0,16,44,1.8101,Male,27.5,3.31,No
416,0,12,33,2.5747,Male,27.5,3.31,No
417,0,12,64,1.3125,Male,27.1,3.3,No
418,1,13.5,54,4.7365,Male,28.7,3.36,No
419,30,10,27,2.8999,Female,28.8,3.36,No
420,0,6,75,1.7719,Male,28.7,3.36,No
421,0,10,19,1.7188,Male,26.6,3.28,No
422,20,6,69,-0.3062,Male,28.5,3.35,No
423,0,12,30,5.2562,Male,27.9,3.33,No
424,0,12,64,2.7626,Male,28.1,3.33,No
425,0,13.5,37,3.82,Male,28.7,3.36,No
426,0,12,31,2.3151,Male,27.2,3.3,No
427,2,12,30,3.3519,Male,28.8,3.36,No
428,0,6,38,3.4875,Male,27.5,3.31,Yes
429,0,12,20,1.531,Male,29.8,3.4,Yes
430,20,12,21,2.9047,Male,29.8,3.4,Yes
431,0,12,19,2.9156,Male,28.4,3.35,Yes
432,0,18,71,3.2585,Male,29.2,3.38,No
433,18,10,49,0.8798,Male,31.6,3.45,No
434,0,10,42,0.6782,Male,27.6,3.32,No
435,10,8,54,1.7196,Male,27.5,3.31,No
436,20,13.5,24,1.9464,Male,27.6,3.32,No
437,0,12,60,1.9659,Male,27.2,3.3,No
438,0,12,54,2.8451,Male,27.6,3.32,No
439,20,10,28,2.6903,Male,26.9,3.29,No
440,0,8,67,3.6404,Male,32.5,3.48,No
441,40,12,56,0.3961,Male,32.8,3.49,No
442,0,16,36,3.9886,Male,32,3.47,No
443,0,12,25,3.2028,Female,32.2,3.47,No
444,0,13.5,34,2.1824,Male,32.9,3.49,No
445,5,10,20,-0.0425,Male,32.8,3.49,No
446,10,13.5,21,-0.264,Male,32.3,3.47,No
447,0,12,42,1.9596,Male,32.5,3.48,No
448,20,13.5,28,1.9541,Male,32.3,3.47,No
449,0,18,29,2.4291,Male,32.7,3.49,No
450,20,8,70,2.8286,Male,32.5,3.48,No
451,30,12,32,0.3475,Male,33.2,3.5,No
452,40,13.5,42,0.3928,Female,32.9,3.49,No
453,30,10,17,-0.1804,Male,32.6,3.48,No
454,0,12,24,1.6951,Male,33.4,3.51,No
455,0,15,64,3.5697,Female,33.2,3.5,No
456,60,12,57,-0.0823,Male,32.9,3.49,No
457,0,16,51,3.8839,Male,32.1,3.47,No
458,18,13.5,29,1.1535,Male,32.9,3.49,No
459,20,10,66,1.5674,Male,32.2,3.47,No
460,15,13.5,62,1.6494,Male,32.2,3.47,No
461,40,16,29,1.423,Male,33.2,3.5,No
462,0,6,58,2.3207,Male,32.8,3.49,No
463,0,15,53,3.2539,Female,32.6,3.48,No
464,0,13.5,38,4.4201,Male,32.7,3.49,No
465,0,12,24,0.8216,Male,32.1,3.47,No
466,0,8,59,1.9353,Male,33.2,3.5,No
467,0,16,30,3.2671,Male,33.1,3.5,No
468,0,8,37,2.0332,Male,32.2,3.47,No
469,0,12,43,2.9258,Male,33,3.5,No
470,0,12,60,3.9478,Female,33.1,3.5,No
471,40,10,24,0.8061,Male,32.5,3.48,No
472,0,12,60,2.0431,Male,32.3,3.47,No
473,0,8,82,0.5019,Male,31,3.43,No
474,0,12,61,1.9798,Male,32.1,3.47,No
475,0,10,66,3.2408,Male,32.3,3.47,No
476,0,15,33,3.3885,Male,30.9,3.43,No
477,19,10,26,1.5315,Male,32.3,3.47,No
478,20,8,85,-1.3958,Female,32.1,3.47,No
479,0,13.5,32,4.5757,Male,31.1,3.44,No
480,0,10,27,2.0902,Male,31.7,3.46,No
481,20,12,30,0.9344,Male,32.1,3.47,No
482,0,12,30,1.5692,Male,31.3,3.44,No
483,0,13.5,47,5.1774,Male,31.6,3.45,No
484,0,12,18,2.7372,Male,30.9,3.43,No
485,0,12,20,0.8563,Female,31.2,3.44,No
486,0,18,32,4.7828,Male,31.3,3.44,No
487,0,18,30,1.1948,Male,31,3.43,No
488,0,10,17,3.4214,Male,31.8,3.46,No
489,10,12,22,0.9689,Male,31.3,3.44,No
490,0,13.5,43,2.8349,Male,30.9,3.43,No
491,40,10,56,0.7593,Male,31.7,3.45,No
492,0,6,64,3.7836,Male,31,3.43,No
493,0,6,76,1.2275,Male,31.5,3.45,No
494,30,12,28,0.6504,Male,32,3.47,No
495,0,18,37,3.4437,Male,32.3,3.48,No
496,0,15,38,3.5036,Male,31.8,3.46,No
497,20,16,52,1.6625,Male,31.1,3.44,No
498,0,8,68,1.0111,Male,31.6,3.45,No
499,0,12,75,2.1142,Male,31.5,3.45,No
500,20,13.5,54,3.6541,Male,30.9,3.43,No
501,40,18,36,1.5242,Male,30.9,3.43,No
502,0,6,37,3.6592,Male,31.2,3.44,No
503,28,13.5,23,1.0973,Female,31.2,3.44,No
504,5,6,36,1.6547,Male,32.1,3.47,No
505,0,10,44,2.2487,Male,31.6,3.45,No
506,0,18,56,2.1102,Female,32.1,3.47,No
507,0,10,64,1.8768,Male,32.2,3.47,No
508,28,13.5,45,0.9169,Male,31.5,3.45,No
509,30,12,56,0.9064,Male,30.9,3.43,No
510,0,8,62,2.7037,Male,31.6,3.45,No
511,0,15,62,2.6661,Male,31.4,3.45,No
512,0,16,52,3.0971,Male,32.3,3.47,No
513,0,10,18,2.4293,Male,31.6,3.45,No
514,0,12,47,3.6834,Male,32,3.47,No
515,0,18,52,3.6233,Male,31.6,3.45,No
516,0,12,18,2.0626,Male,32.1,3.47,No
517,20,13.5,26,2.0358,Male,32,3.47,No
518,0,15,22,4.0998,Male,32.3,3.48,No
519,0,6,65,1.8406,Male,31.6,3.45,No
520,20,12,38,1.6848,Male,31.9,3.46,No
521,0,13.5,20,0.1075,Male,31.5,3.45,No
522,60,16,41,-0.7647,Male,31,3.43,No
523,20,16,28,0.7187,Male,31.7,3.45,No
524,0,16,57,2.7943,Male,31.5,3.45,No
525,7,10,44,3.6776,Male,31.6,3.45,No
526,0,13.5,32,2.0271,Male,32.2,3.47,No
527,15,13.5,22,1.0163,Male,32.1,3.47,No
528,0,16,30,1.8059,Male,32.2,3.47,No
529,0,16,30,3.2959,Male,31.2,3.44,No
530,40,10,59,1.2428,Male,31.5,3.45,No
531,0,6,42,2.463,Male,32,3.47,No
532,20,10,31,1.1451,Male,31.7,3.46,No
533,0,12,39,3.219,Male,31.7,3.46,No
534,0,8,65,1.8788,Male,31.8,3.46,No
535,10,10,78,1.1186,Female,31.1,3.44,No
536,0,10,17,2.1592,Female,31.8,3.46,No
537,0,18,34,4.0405,Male,31.8,3.46,No
538,0,16,39,3.9407,Male,32.3,3.48,No
539,0,10,49,3.2693,Male,31.4,3.45,No
540,0,12,51,3.6418,Male,32.1,3.47,No
541,0,12,19,0.9574,Male,30.9,3.43,No
542,30,12,26,0.8498,Male,31.8,3.46,No
543,0,12,82,1.319,Male,31.2,3.44,No
544,10,12,38,3.2358,Male,32.1,3.47,No
545,30,12,32,1.7122,Male,31.4,3.45,No
546,30,10,27,1.5366,Male,30.9,3.43,No
547,0,12,35,1.4409,Male,32.3,3.47,No
548,0,10,54,2.4353,Male,31.9,3.46,No
549,20,12,37,3.5302,Male,31,3.43,No
550,10,10,60,1.3454,Female,32.3,3.48,No
551,11,10,17,0.8016,Male,31.7,3.46,No
552,40,16,28,1.0564,Male,32.3,3.47,No
553,40,8,35,1.3756,Male,31.1,3.44,No
554,20,10,40,3.2586,Male,32,3.47,No
555,0,6,24,2.9655,Male,32.1,3.47,No
556,0,18,41,3.364,Male,31.9,3.46,No
557,0,8,47,3.1729,Female,30.9,3.43,No
558,0,13.5,22,2.2765,Male,23.2,3.14,No
559,0,18,29,1.9885,Male,22.4,3.11,No
560,30,10,17,0.6481,Male,22.2,3.1,No
561,40,13.5,40,0.8802,Female,23.8,3.17,No
562,10,13.5,32,3.4421,Male,23.2,3.14,No
563,0,13.5,47,3.9342,Male,23.5,3.16,No
564,20,10,58,1.2327,Male,23.3,3.15,No
565,0,18,74,1.8353,Male,22.2,3.1,No
566,20,12,49,2.392,Male,23.8,3.17,No
567,0,6,69,1.5358,Male,23.6,3.16,No
568,0,16,25,1.7588,Male,23.6,3.16,No
569,0,6,71,1.6966,Male,22.6,3.12,No
570,1,12,66,2.8346,Male,28.7,3.36,No
571,20,10,25,0.2304,Male,28.8,3.36,No
572,0,10,50,3.9016,Male,29.6,3.39,No
573,0,13.5,19,0.8253,Male,28.5,3.35,No
574,3,6,28,2.5549,Male,28.6,3.35,No
575,0,15,22,3.2099,Male,29.5,3.38,No
576,20,13.5,49,3.2312,Male,29,3.37,No
577,20,12,39,2.5782,Male,28.8,3.36,No
578,9,10,19,1.3527,Male,29.3,3.38,No
579,0,12,60,2.9559,Male,28.9,3.36,No
580,18,18,37,0.1811,Male,29.1,3.37,No
581,0,12,62,5.7972,Male,29,3.37,No
582,0,12,20,3.9456,Male,29.5,3.38,No
583,1,16,23,1.6941,Male,29.1,3.37,No
584,60,10,45,-0.1876,Male,28.4,3.35,No
585,40,12,28,0.6231,Male,28.7,3.36,No
586,6,12,20,0.0219,Male,29.6,3.39,No
587,0,12,51,3.6192,Male,29.2,3.37,No
588,0,12,62,1.2292,Male,28.7,3.36,No
589,0,12,55,2.9936,Male,29.5,3.39,No
590,0,16,26,5.2338,Male,29.1,3.37,No
591,10,12,41,1.9015,Female,29,3.37,No
592,0,13.5,67,5.4007,Male,29.1,3.37,No
593,20,10,19,1.5975,Male,28.7,3.36,No
594,0,18,33,5.2766,Male,28.4,3.35,No
595,0,18,29,5.0377,Male,28.7,3.36,No
596,20,12,49,2.8116,Male,28.7,3.36,No
597,20,12,29,0.6705,Male,29.5,3.39,No
598,0,15,32,3.0161,Male,29.4,3.38,No
599,60,16,31,-0.9116,Male,28.9,3.36,No
600,50,10,17,-1.423,Male,29,3.37,No
601,0,13.5,33,2.9211,Male,28.8,3.36,No
602,0,12,21,1.1175,Male,29.4,3.38,No
603,30,10,59,1.2013,Male,29.2,3.37,No
604,20,13.5,25,2.0645,Male,28.5,3.35,No
605,60,8,32,0.5497,Male,28.7,3.36,No
606,0,12,25,0.4783,Male,29.2,3.37,No
607,40,13.5,61,3.2835,Male,29.4,3.38,No
608,0,18,66,2.3936,Male,29.5,3.38,No
609,25,10,22,1.5949,Male,28.7,3.36,No
610,10,12,24,1.8307,Male,28.8,3.36,No
611,0,18,43,1.606,Male,29.1,3.37,No
612,0,12,51,2.5095,Male,29.5,3.39,No
613,0,16,45,3.4289,Male,28.9,3.36,No
614,0,12,45,3.1185,Male,29.4,3.38,No
615,0,18,66,4.269,Male,28.7,3.36,No
616,0,12,38,2.8397,Female,29.5,3.38,No
617,30,10,49,1.3809,Male,28.4,3.35,No
618,1,13.5,29,2.1242,Male,28.7,3.36,No
619,33,16,45,2.0776,Male,28.4,3.35,No
620,80,18,43,-1.8212,Male,30.4,3.42,No
621,0,12,49,3.9346,Male,30.6,3.42,No
622,0,13.5,20,1.4715,Male,31.4,3.45,No
623,20,13.5,41,3.8626,Male,31.6,3.45,No
624,0,12,31,1.8817,Male,29.2,3.38,No
625,0,13.5,28,2.6416,Male,30,3.4,No
626,0,12,36,3.658,Male,29.5,3.38,No
627,0,18,37,1.7359,Female,27.2,3.3,No
628,0,12,18,1.9914,Male,26.7,3.28,No
629,0,15,22,2.9305,Male,26.3,3.27,No
630,0,18,33,3.0396,Male,26.4,3.27,No
631,0,10,76,3.4772,Male,26.6,3.28,No
632,0,13.5,34,4.1259,Male,26.4,3.27,No
633,0,13.5,78,0.6416,Female,30.4,3.41,No
634,15,12,31,0.6793,Male,30.5,3.42,No
635,0,10,42,3.3249,Male,30.6,3.42,No
636,10,18,32,2.6509,Male,30.6,3.42,No
637,0,8,80,1.4425,Male,30.4,3.41,No
638,10,12,40,3.128,Male,30.9,3.43,No
639,0,16,53,2.3136,Male,30.6,3.42,No
640,0,6,82,2.5217,Female,30.4,3.41,No
641,11,6,18,1.1315,Male,30.5,3.42,No
642,10,8,46,0.7206,Female,30.5,3.42,No
643,0,12,60,3.253,Male,30.6,3.42,No
644,0,8,78,1.3882,Male,30.8,3.43,No
645,0,12,47,4.5337,Male,30.5,3.42,No
646,0,10,17,2.116,Male,30.4,3.41,No
647,2,12,27,1.8332,Male,30.4,3.41,No
648,0,18,48,2.2669,Male,30.6,3.42,No
649,0,18,39,3.2634,Male,30.5,3.42,No
650,0,12,25,3.4393,Male,30.6,3.42,No
651,10,12,30,1.338,Male,30.9,3.43,No
652,0,18,59,3.843,Male,30.4,3.41,No
653,0,16,47,1.516,Male,30.5,3.42,No
654,20,12,32,1.076,Male,30.6,3.42,No
655,20,10,17,1.3491,Male,30.6,3.42,No
656,0,13.5,23,0.8915,Male,30.4,3.41,No
657,0,12,20,3.3615,Male,30.6,3.42,No
658,0,13.5,32,4.2985,Male,30.5,3.42,No
659,10,13.5,19,0.6347,Male,30.5,3.42,No
660,0,12,23,0.6848,Male,30.6,3.42,No
661,0,10,18,2.6066,Male,30.6,3.42,No
662,30,12,54,0.862,Male,30.6,3.42,No
663,20,12,65,2.1876,Male,30.5,3.42,No
664,0,8,55,2.9601,Male,30.5,3.42,No
665,30,12,29,2.1734,Male,30.5,3.42,No
666,8,12,19,1.3685,Female,30.9,3.43,No
667,0,16,27,2.2678,Male,30.4,3.41,No
668,35,12,26,-0.5768,Male,30.6,3.42,No
669,20,10,59,1.2879,Male,30.6,3.42,No
670,0,12,25,3.9774,Male,30.4,3.41,No
671,0,16,78,2.759,Male,30.5,3.42,No
672,20,6,69,0.9257,Male,30.4,3.41,No
673,0,10,58,3.6046,Male,30.6,3.42,No
674,0,15,24,3.3356,Male,25.5,3.24,No
675,0,12,54,4.3022,Male,25.5,3.24,No
676,0,12,48,4.005,Male,25.5,3.24,No
677,30,12,59,-0.3974,Male,25.5,3.24,No
678,40,10,38,1.0958,Male,25.5,3.24,No
679,0,16,29,4.2051,Male,25.5,3.24,No
680,50,12,33,0.1509,Male,25.7,3.25,No
681,0,6,32,2.1021,Male,25.5,3.24,No
682,0,18,36,2.338,Male,29,3.37,No
683,20,6,49,1.501,Female,30,3.4,No
684,0,16,69,3.1246,Male,29,3.37,No
685,20,12,18,-1.3729,Female,30.4,3.42,No
686,0,18,72,1.9256,Male,29,3.37,No
687,40,18,35,2.3817,Male,30.4,3.41,No
688,0,8,71,3.4087,Female,29.4,3.38,No
689,0,13.5,47,0.8751,Male,29.3,3.38,No
690,0,12,20,1.4033,Male,29.2,3.37,No
691,0,12,43,3.331,Male,30.1,3.4,No
692,0,12,65,4.2101,Male,30.2,3.41,No
693,10,8,23,2.1022,Male,30.1,3.4,No
694,40,12,44,1.9409,Male,30,3.4,No
695,0,13.5,28,2.3858,Female,32,3.47,No
696,0,18,67,3.1519,Male,32.1,3.47,No
697,0,13.5,32,1.8611,Male,31.4,3.45,No
698,0,8,37,2.5643,Male,31.8,3.46,No
699,4,13.5,32,2.2408,Male,32,3.46,No
700,0,6,57,2.5881,Male,31.8,3.46,No
701,30,10,55,3.6551,Male,31.6,3.45,No
702,0,12,31,3.0726,Male,31.8,3.46,No
703,0,12,57,1.58,Male,31.5,3.45,No
704,0,13.5,54,1.5102,Female,31.9,3.46,No
705,25,16,24,0.1464,Female,32,3.47,No
706,0,13.5,33,4.1175,Male,31.9,3.46,No
707,0,16,49,3.2039,Male,31.4,3.45,No
708,0,10,19,2.6292,Male,31.8,3.46,No
709,20,16,50,1.5207,Male,31.3,3.44,No
710,0,18,58,1.0893,Male,31.4,3.45,No
711,0,10,65,3.1054,Male,31.5,3.45,No
712,0,10,18,1.8696,Male,32.1,3.47,No
713,20,12,31,3.003,Male,31.6,3.45,No
714,0,12,34,2.1975,Male,31.4,3.45,No
715,0,12,55,3.2613,Male,31.8,3.46,No
716,0,16,28,-0.2731,Male,31.6,3.45,No
717,20,12,65,2.2077,Male,31.3,3.44,No
718,15,8,68,0.6062,Female,32,3.46,No
719,0,13.5,29,2.5488,Male,31.4,3.45,No
720,10,12,29,2.6669,Female,31.3,3.44,No
721,0,12,61,1.626,Male,31.4,3.45,No
722,0,16,45,1.8018,Male,31.7,3.46,No
723,0,15,66,2.0854,Male,31.7,3.46,No
724,0,12,18,0.4414,Male,31.8,3.46,No
725,40,16,44,2.0958,Male,31.3,3.44,No
726,0,12,41,3.8588,Male,31.4,3.45,No
727,0,6,31,0.8425,Male,31.4,3.45,No
728,40,12,61,0.8036,Male,31.8,3.46,No
729,0,10,29,2.106,Male,31.6,3.45,No
730,12,13.5,70,1.462,Male,31.3,3.44,No
731,20,6,49,1.32,Male,31.9,3.46,No
732,0,16,35,4.3102,Female,31.4,3.45,No
733,15,12,28,2.0169,Male,31.6,3.45,No
734,0,12,30,3.0154,Female,31.8,3.46,No
735,0,13.5,23,1.8165,Female,32,3.47,No
736,0,12,35,4.8971,Male,31.4,3.45,No
737,0,12,24,3.6055,Male,31.6,3.45,No
738,0,16,22,2.2,Female,31.8,3.46,No
739,0,10,49,3.2612,Male,31.8,3.46,No
740,30,12,38,3.8025,Male,31.6,3.45,No
741,0,12,22,1.7657,Female,28.1,3.34,Yes
742,0,16,45,4.5796,Female,28.3,3.34,Yes
743,0,18,39,3.7703,Female,28.1,3.34,Yes
744,0,15,61,2.4242,Male,27.3,3.31,Yes
745,0,12,19,2.7061,Male,27.4,3.31,Yes
746,0,18,36,3.809,Male,28.1,3.34,Yes
747,0,10,21,1.997,Male,27.4,3.31,Yes
748,0,16,38,3.6713,Male,27.3,3.31,Yes
749,0,12,39,3.9313,Male,23.5,3.16,No
750,0,18,29,4.8196,Male,23.5,3.16,No
751,0,13.5,44,3.7855,Male,24.4,3.19,No
752,10,12,46,3.438,Male,23.2,3.14,No
753,0,13.5,26,3.2892,Male,23.8,3.17,No
754,0,13.5,30,3.9307,Male,24,3.18,No
755,40,12,47,2.1491,Male,23.7,3.16,No
756,0,6,64,2.829,Male,24.3,3.19,No
757,5,12,18,0.4192,Male,23.8,3.17,No
758,20,12,37,2.9424,Male,23.7,3.16,No
759,0,10,67,2.9031,Female,23.8,3.17,No
760,20,10,29,0.8961,Male,23.9,3.17,No
761,5,18,60,2.1406,Male,23.2,3.15,No
762,0,12,39,3.0618,Male,23.4,3.15,No
763,15,13.5,59,1.6552,Male,23.2,3.14,No
764,0,6,75,2.1814,Male,23.3,3.15,No
765,15,12,19,1.626,Male,24.3,3.19,No
766,6,13.5,27,0.2425,Male,31.7,3.46,No
767,0,13.5,62,1.8227,Male,31.1,3.44,No
768,20,12,63,0.5982,Male,31.6,3.45,No
769,0,12,60,1.3662,Male,31.7,3.46,No
770,20,12,46,1.5188,Male,31.4,3.45,No
771,0,12,28,2.3788,Male,31.1,3.44,No
772,15,13.5,20,1.4239,Male,31.1,3.44,No
773,0,12,50,2.3257,Male,31.7,3.46,No
774,0,15,43,2.394,Male,31.1,3.44,No
775,55,12,45,0.849,Male,31.7,3.46,No
776,0,12,62,4.4642,Male,31.6,3.45,No
777,12,6,70,1.6294,Male,31.6,3.45,No
778,0,12,58,2.3616,Male,32.1,3.47,No
779,0,12,21,2.6441,Male,32.1,3.47,No
780,0,13.5,27,0.7433,Male,31.5,3.45,No
781,0,18,47,4.5194,Male,32.1,3.47,No
782,0,10,68,2.6195,Male,32,3.47,No
783,2,10,17,1.0018,Male,31.6,3.45,No
784,0,16,35,2.6743,Male,31.1,3.44,No
785,0,12,37,2.3433,Male,31.4,3.45,No
786,20,16,30,3.8153,Male,31.9,3.46,No
787,0,10,19,2.5237,Male,31.7,3.46,No
788,30,12,54,1.4817,Male,31.8,3.46,No
789,10,12,41,1.6863,Male,31.9,3.46,No
790,0,12,34,4.5258,Male,31.1,3.44,No
791,20,13.5,28,3.2865,Male,31.4,3.45,No
792,30,13.5,26,0.7988,Male,31.1,3.44,No
793,0,12,18,0.3866,Male,31.2,3.44,No
794,0,12,19,2.1286,Male,31.4,3.45,No
795,0,6,29,2.6769,Male,30.6,3.42,No
796,15,8,60,2.1256,Male,30,3.4,No
797,0,18,50,4.0223,Male,30.7,3.42,No
798,40,12,52,0.6669,Male,30.4,3.41,No
799,5,15,22,4.2618,Male,30.6,3.42,No
800,40,10,38,0.6335,Male,30,3.4,No
801,0,10,63,0.7329,Male,30.1,3.4,No
802,0,16,23,3.6413,Male,30.5,3.42,No
803,20,18,52,1.6388,Female,30.9,3.43,No
804,0,18,31,3.7023,Male,30.8,3.43,No
805,0,16,30,4.8418,Male,30.4,3.41,No
806,0,10,18,1.4527,Male,30,3.4,No
807,20,10,47,5.2523,Male,29.8,3.4,No
